#,"How many hours a day you listen to music?","Apple Music","Amazon Music","Google Music",Spotify,SoundCloud,8tracks,VK.com,"Yandex Music",Youtube,Pandora,None,Other,"Do you listen to different music based on your mood?","Do you listen to different music based on the activity you perform?","How much does the activity (e.g. work, sport, commute, travel) you do affect your music preference?","How much does your mood affect your music preference?","If you listen to music with no headphones how do music preferences of your friends who are around affect your music selection?","How much does a location you are in (e.g.  a beach, a city park) affect your music preference?","How much does an ambience of a location you are in (e.g. a sunny beach, a rainy beach, a loud bar, a quiet cafe) affect your music preference?","If you have in mind other things affecting your music preference, list them here:","Your age:","Your gender:","The country of your origin:","The country you live in now:","If you have any comments, leave them here:","Start Date (UTC)","Submit Date (UTC)","Network ID"
f119d8bd9fc642750da52dec06fcfb57,1,,,,,SoundCloud,,,,,,,,1,1,4,7,8,2,4,"in love mood or not",22,Male,egypt,egypt,"no comment","2017-06-08 08:41:54","2017-06-08 08:44:21",b10ed71cae
ec4a0215f444b579b1be8d15cc82a1e5,3,,,,,,,,,Youtube,,,,1,1,7,10,7,3,5,,32,Male,georgia,georgia,,"2017-06-08 08:41:43","2017-06-08 08:44:24",9b6f253089
4967cc52b8bc28f6d916de9bf13bca74,4,,,"Google Music",,SoundCloud,,,,,,,,1,1,7,8,3,6,5,"ketika dalam kesepian",34,Male,indonesia,indonesia,"tidak untuk saat ini","2017-06-08 08:39:20","2017-06-08 08:44:38",a0a6475c9f
b6ac4d7afe6089a7a2cd4eae79626ee6,1,,,,,,,,,Youtube,,,,1,1,9,8,8,2,9,,25,Female,palestine,palestine,,"2017-06-08 08:37:20","2017-06-08 08:44:46",5db20b0d16
1441c597adbfee4a55def964999d02a3,1,,,,,,,,,Youtube,,,,1,1,8,7,5,8,9,,48,Male,Bosnia,Bosnia,None,"2017-06-08 08:42:22","2017-06-08 08:44:50",3c6774678d
214dc0fe644a38ce3f9e756f020715bb,1,,,,,,,,,Youtube,,,,0,1,1,3,1,4,6,no,38,Male,Romania,Romania,no,"2017-06-08 08:41:54","2017-06-08 08:44:54",e875f8b72c
597b0735f5b1dd1d943261597c657d1d,6,,,,,,,,,Youtube,,,,1,1,8,8,6,8,5,No,39,Male,Poland,Poland,No,"2017-06-08 08:41:30","2017-06-08 08:45:18",84238c5793
5d8c8cd60eb3b7714d0741d667e2be15,1,,,,,,,,,,,None,,1,1,8,7,7,8,8,None,54,Male,Bulgaria,Bulgaria,No,"2017-06-08 08:39:31","2017-06-08 08:45:20",54df79d084
6a78e7350e6b596dc383d38992ec680b,5,,,,Spotify,,,,,Youtube,,,,1,1,6,8,4,9,8,weather,22,Female,philippines,Philipines,"Its easy.","2017-06-08 08:39:08","2017-06-08 08:45:29",3a78b7649c
3f7b93ff7531129dab58c185bd6732fd,1,,,,,,,,,Youtube,,,,1,1,9,9,8,8,9,"One kind of music lead to many more titles of same kind of musics which changes the duration of listing to music. If my average of listing to music is 1 hr., it becomes 1 1/2 hrs.",41,Male,India,India,,"2017-06-08 08:42:10","2017-06-08 08:46:22",b172fd8d44
